1.0C_Dch_Tmax,1.0C_Dch_Capacity,1.0C_Dch_duration,2.0C_Dch_Tmax,2.0C_Dch_Capacity,2.0C_Dch_duration,standard_dch_cycle_capacity,DCIR_1s,DCIR_SOC_1s,DCIR_2s,DCIR_SOC_2s,DCIR_4s,DCIR_SOC_4s
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,32.591,,,,,,
,,,,,,32.577,,,,,,
,,,,,,32.554,,,,,,
,,,,,,,0.33334421702201933,,,,,
,,,,,,,0.2833411674017869,,,,,
,,,,,,,0.3066742929748378,,,,,
,,,,,,,,70.0,,,,
,,,,,,,,40.0,,,,
,,,,,,,,15.0,,,,
,,,,,,,,,0.5400176315756706,,,
,,,,,,,,,0.47667984633477284,,,
,,,,,,,,,0.5066792666540778,,,
,,,,,,,,,,70.0,,
,,,,,,,,,,40.0,,
,,,,,,,,,,15.0,,
,,,,,,,,,,,0.8000261208528464,
,,,,,,,,,,,0.716686482251585,
,,,,,,,,,,,0.7666857324370907,
,,,,,,,,,,,,70.0
,,,,,,,,,,,,40.0
,,,,,,,,,,,,15.0
