1.0C_Dch_Tmax,1.0C_Dch_Capacity,1.0C_Dch_duration,2.0C_Dch_Tmax,2.0C_Dch_Capacity,2.0C_Dch_duration,standard_dch_cycle_capacity,DCIR_1s,DCIR_SOC_1s,DCIR_2s,DCIR_SOC_2s,DCIR_4s,DCIR_SOC_4s,pulse_relaxation_timeseries,pOCV_timeseries
37.18,,,,,,,,,,,,,,
,32.324,,,,,,,,,,,,,
,,3880.0,,,,,,,,,,,,
,,,50.07,,,,,,,,,,,
,,,,32.01,,,,,,,,,,
,,,,,1920.0,,,,,,,,,
,,,,,,32.591,,,,,,,,
,,,,,,32.577,,,,,,,,
,,,,,,32.554,,,,,,,,
,,,,,,,0.33334421702201933,,,,,,,
,,,,,,,0.2833411674017869,,,,,,,
,,,,,,,0.3066742929748378,,,,,,,
,,,,,,,,70.0,,,,,,
,,,,,,,,40.0,,,,,,
,,,,,,,,15.0,,,,,,
,,,,,,,,,0.5400176315756706,,,,,
,,,,,,,,,0.47667984633477284,,,,,
,,,,,,,,,0.5066792666540778,,,,,
,,,,,,,,,,70.0,,,,
,,,,,,,,,,40.0,,,,
,,,,,,,,,,15.0,,,,
,,,,,,,,,,,0.8000261208528464,,,
,,,,,,,,,,,0.716686482251585,,,
,,,,,,,,,,,0.7666857324370907,,,
,,,,,,,,,,,,70.0,,
,,,,,,,,,,,,40.0,,
,,,,,,,,,,,,15.0,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4.183
,,,,,,,,,,,,,,4.182
,,,,,,,,,,,,,,4.1812
,,,,,,,,,,,,,,4.1806
,,,,,,,,,,,,,,4.1802
,,,,,,,,,,,,,,4.1798
,,,,,,,,,,,,,,4.1794
,,,,,,,,,,,,,,4.1794
,,,,,,,,,,,,,,4.1792
,,,,,,,,,,,,,,4.1788
,,,,,,,,,,,,,,4.1784
,,,,,,,,,,,,,,4.1782
,,,,,,,,,,,,,,4.1782
,,,,,,,,,,,,,,4.178
,,,,,,,,,,,,,,4.1776
,,,,,,,,,,,,,,4.1776
,,,,,,,,,,,,,,4.1774
,,,,,,,,,,,,,,4.1774
,,,,,,,,,,,,,,4.1774
,,,,,,,,,,,,,,4.1772
,,,,,,,,,,,,,,4.177
,,,,,,,,,,,,,,4.1768
,,,,,,,,,,,,,,4.1768
,,,,,,,,,,,,,,4.1768
,,,,,,,,,,,,,,4.1764
,,,,,,,,,,,,,,4.176
,,,,,,,,,,,,,,4.176
,,,,,,,,,,,,,,4.176
,,,,,,,,,,,,,,4.1756
,,,,,,,,,,,,,,4.1756
,,,,,,,,,,,,,,4.1754
,,,,,,,,,,,,,,4.1754
,,,,,,,,,,,,,,4.1754
,,,,,,,,,,,,,,4.1752
,,,,,,,,,,,,,,4.1752
,,,,,,,,,,,,,,4.1748
,,,,,,,,,,,,,,4.1748
,,,,,,,,,,,,,,4.1748
,,,,,,,,,,,,,,4.1746
,,,,,,,,,,,,,,4.1742
,,,,,,,,,,,,,,4.1744
,,,,,,,,,,,,,,4.1744
,,,,,,,,,,,,,,4.174
,,,,,,,,,,,,,,4.1742
,,,,,,,,,,,,,,4.174
,,,,,,,,,,,,,,4.174
,,,,,,,,,,,,,,4.174
,,,,,,,,,,,,,,4.1738
,,,,,,,,,,,,,,4.1738
,,,,,,,,,,,,,,4.1736
,,,,,,,,,,,,,,4.1736
,,,,,,,,,,,,,,4.1734
,,,,,,,,,,,,,,4.1734
,,,,,,,,,,,,,,4.1732
,,,,,,,,,,,,,,4.173
